SampleI D,Long.,Lat.,pH,Cond. (μS),TDS(mg/ l),DO(mg/l),Ca(mg/ l),Mg(mg/l),Na(m g/l),K(mg/l),Cl(mg/l),HCO3(mg/l),SO4(mg/l),PO4(mg/l),SiO2,18OD,D,d-ex ,WQI
pre16,76.68,11.41,7.6,671,536.8,2.5,78,7.83,31.9,5.6,92.3,146.4,0.28,0.72,4.37,-4.01,-26.99,5.1,188.72
pre16,76.69,11.4,7.65,672,537.6,1.5,82,7.79,13.5,5.5,99.4,219.6,0.27,0.58,9.2,-4.11,-28.81,4.06,206.89
pre16,76.69,11.4,7.44,673,538.4,2.5,52,15.14,32,5.5,92.3,170.8,3.17,0.73,1.19,-3.82,-27.57,2.95,248.69
pre16,76.69,11.4,7.66,674,539.2,2,64,4.21,42,5.1,85.2,244,3.13,0.72,6.51,-3.90,-26.44,4.75,294.8
pre16,76.69,11.4,7.59,675,540,1.5,66,5.77,31.8,5.2,85.2,244,0.26,0.86,1.33,-4.04,-27.24,5.08,317.02
pre16,76.69,11.4,7.65,676,540.8,6,70,11.56,11.9,5.1,85.2,170.8,0.29,0.73,6.03,-4.02,-26.52,5.63,332.61
pre16,76.69,11.41,7.66,677,541.6,5,64,6.1,41.6,5.1,92.3,195.2,0.32,0.85,3.2,-3.84,-26.48,4.26,337.99
pre16,76.68,11.41,7.55,681,544.8,2.5,70,6.42,61.2,8,78.1,219.6,0.27,0.56,1.68,-3.94,-28.36,3.18,333.55
pre16,76.68,11.4,7.55,683,546.4,2,58,5.49,41.2,5,85.2,195.2,0.3,0.7,6.23,-3.91,-27.75,3.51,387.14
pre16,76.69,11.4,7.55,686,548.8,1.5,56,3,51.6,4.9,85.2,195.2,0.29,0.68,0.12,-3.99,-27.72,4.22,334.38
pre16,76.69,11.4,7.63,688,550.4,1.5,50,3.61,41.7,5,85.2,138.4,0.15,0.51,6.86,-3.96,-27.07,4.62,375.38
pre16,76.69,11.4,7.56,690,552,1,60,8.47,51.9,5.2,92.3,217.2,0.33,0.65,0.3,-3.75,-26.57,3.39,430.93
pre16,76.69,11.41,7.42,678,542.4,2,76,5.77,51.4,5,92.3,292.8,0.3,0.66,7.61,-4.03,-28.01,4.21,368.27
pre16,76.68,11.41,7.46,682,545.6,1.5,68,5.49,51.6,4.9,85.2,292.8,0.32,0.56,0.78,-3.96,-28.77,2.92,368.42
pre16,76.68,11.4,7.05,684,547.2,1.5,48,7.25,31.1,4.8,78.1,168.4,0.34,0.9,10.58,-4.05,-29.65,2.78,329.78
pre16,76.68,11.4,7.62,685,548,1,60,6.18,41.5,4.8,92.3,192.8,0.29,0.49,1.54,-3.89,-28.07,3.07,338.98
pre16,76.69,11.4,7.37,687,549.6,1.5,54,4.21,41.6,5.1,92.3,168.4,0.29,0.71,2.71,-3.99,-28.25,3.67,355.52
pre16,76.69,11.4,7.36,689,551.2,1,60,3.61,52.1,5.1,85.2,266,0.29,0.7,4.51,-4.00,-27.28,4.68,352.65
pre16,76.69,11.4,7.52,691,552.8,1,56,9.15,41.9,5.2,92.3,217.2,0.21,0.67,3.27,-3.88,-28.17,2.89,451.89
pre16,76.69,11.4,7.02,679,543.2,0,88,7.54,42.8,5.8,92.3,341.6,0.31,1.99,2.57,-4.59,-28.78,7.94,395.1
pre16,76.69,11.4,7.23,680,544,1,96,15.23,60.4,12.2,141.8,317.2,0.39,1.73,15.69,-4.71,-28.49,9.19,451.81
post16,76.69,11.41,6.86,692,553.6,1.5,63,9.94,39.4,4.7,85.2,258,0.59,0.65,20.69,-4.22,-26.81,6.91,292.31
post16,76.68,11.4,6.83,693,554.4,1.5,54,8.9,59.2,4.7,92.3,288,0.22,0.43,19.68,-4.43,-27.41,8.03,393.33
post16,76.68,11.41,6.72,694,555.2,1.5,42,10.95,39.3,4.9,78.1,188,0.79,0.78,18.92,-4.22,-26.34,7.45,278.77
post16,76.68,11.41,6.68,695,556,2,67,10.07,45.1,4.8,71,194,0.24,0.54,18.45,-4.44,-29.77,5.74,311.3
